#,Name,RA,DE
409,J163248.00+311443.4,248.2,31.2454
410,J162549.20+291942.9,246.455,29.3286
411,J162827.12+312641.2,247.113,31.4448
412,J162802.16+312122.6,247.009,31.3563
413,J163603.60+304940.4,249.015,30.8279
414,J163148.96+304012.3,247.954,30.6701
415,J162519.92+294332.5,246.333,29.7257
416,J162514.88+301930.3,246.312,30.3251
417,J164350.16+291210.0,250.959,29.2028
418,J164213.68+303256.0,250.557,30.5489
419,J163944.88+312443.5,249.937,31.4121
420,J164355.92+291203.9,250.983,29.2011
421,J164409.60+291304.8,251.04,29.218
422,J163710.56+311111.4,249.294,31.1865
423,J163916.32+301219.8,249.818,30.2055
424,J163915.84+291222.3,249.816,29.2062
425,J164144.64+312019.3,250.436,31.3387
426,J164111.52+312027.2,250.298,31.3409
427,J164057.60+302309.9,250.24,30.3861
428,J163740.08+291642.9,249.417,29.2786
429,J165140.80+311607.6,252.92,31.2688
430,J164010.08+301606.2,250.042,30.2684
431,J164059.28+292726.2,250.247,29.4573
432,J164354.72+291254.3,250.978,29.2151
433,J164811.52+294153.1,252.048,29.6981
434,J164604.80+300354.0,251.52,30.065
435,J164223.04+303723.5,250.596,30.6232
436,J164341.52+303834.4,250.923,30.6429
437,J164337.20+305137.4,250.905,30.8604
438,J164348.24+302209.8,250.951,30.3694
439,J164158.56+312837.2,250.494,31.477
440,J164133.84+311507.9,250.391,31.2522
441,J164102.88+311219.0,250.262,31.2053
442,J163824.24+311412.1,249.601,31.2367
443,J163753.28+310712.3,249.472,31.1201
444,J163825.92+310502.0,249.608,31.0839
445,J164839.84+300113.8,252.166,30.0205
446,J164826.88+295021.8,252.112,29.8394
447,J164108.16+305639.4,250.284,30.9443
448,J164905.28+294531.6,252.272,29.7588
449,J164525.68+293346.8,251.357,29.563
450,J164555.92+300039.2,251.483,30.0109
451,J163817.28+291451.7,249.572,29.2477
452,J163801.92+293007.9,249.508,29.5022
453,J163756.88+293144.4,249.487,29.529
454,J163922.56+292419.8,249.844,29.4055
455,J165248.24+305118.0,253.201,30.855
456,J164756.40+304235.6,251.985,30.7099
457,J164151.36+295849.0,250.464,29.9803
458,J164212.24+303302.5,250.551,30.5507
459,J164317.52+303718.4,250.823,30.6218
460,J164346.08+305035.8,250.942,30.8433
461,J165353.76+312632.6,253.474,31.4424
462,J165921.36+295627.9,254.839,29.9411
463,J165838.88+312400.7,254.662,31.4002
464,J165348.72+312622.2,253.453,31.4395
465,J165416.80+312615.3,253.57,31.4376
466,J165410.32+301229.1,253.543,30.2081
467,J165412.48+300548.4,253.552,30.0968
468,J165428.32+291135.5,253.618,29.1932
469,J165447.28+292402.8,253.697,29.4008
470,J165412.72+294024.6,253.553,29.6735
471,J165937.68+310722.0,254.907,31.1228
472,J170431.92+312737.8,256.133,31.4605
473,J170545.12+301020.6,256.438,30.1724
474,J165659.04+312708.6,254.246,31.4524
475,J165612.96+310146.2,254.054,31.0295
476,J165648.00+304655.5,254.2,30.7821
477,J165548.24+303731.4,253.951,30.6254
478,J170628.08+312751.4,256.617,31.4643
479,J165247.52+301022.4,253.198,30.1729
480,J170356.16+305646.3,255.984,30.9462
481,J170523.76+304031.0,256.349,30.6753
482,J170024.48+305732.0,255.102,30.9589
483,J165412.72+293148.0,253.553,29.53
484,J170533.36+301447.0,256.389,30.2464
485,J170340.80+292148.6,255.92,29.3635
486,J165443.68+302046.3,253.682,30.3462
487,J165348.72+300401.2,253.453,30.067
488,J165446.80+300146.9,253.695,30.0297
489,J165450.16+292234.6,253.709,29.3763
490,J170032.16+311430.1,255.134,31.2417
491,J170426.40+291336.1,256.11,29.2267
492,J170431.44+291350.1,256.131,29.2306
493,J170354.48+291608.0,255.977,29.2689
494,J170309.60+291348.0,255.79,29.23
495,J165348.72+292633.7,253.453,29.4427
496,J165438.40+312233.9,253.66,31.3761
497,J165424.00+305809.4,253.6,30.9693
498,J165509.84+301237.0,253.791,30.2103
499,J165512.00+294416.4,253.8,29.7379
500,J165256.16+303008.2,253.234,30.5023
501,J170408.64+312902.0,256.036,31.4839
502,J170423.28+312558.8,256.097,31.433
503,J170354.72+312436.3,255.978,31.4101
504,J170334.56+312151.1,255.894,31.3642
505,J170339.12+311742.0,255.913,31.295
506,J170416.80+310344.2,256.07,31.0623
507,J170401.44+305845.4,256.006,30.9793
508,J170411.28+305801.9,256.047,30.9672
509,J170337.68+304657.7,255.907,30.7827
510,J170427.84+304424.7,256.116,30.7402
511,J170420.88+304320.2,256.087,30.7223
512,J170508.64+302344.5,256.286,30.3957
513,J170413.68+294247.8,256.057,29.7133
514,J170358.80+291720.4,255.995,29.289
515,J170456.64+291928.2,256.236,29.3245
516,J170323.52+292903.4,255.848,29.4843
517,J165727.36+310258.5,254.364,31.0496
518,J165542.00+303114.8,253.925,30.5208
519,J170727.36+311451.7,256.864,31.2477
520,J170645.36+311021.0,256.689,31.1725
521,J170725.44+310734.6,256.856,31.1263
522,J170711.52+310051.4,256.798,31.0143
523,J165839.60+301756.4,254.665,30.299
524,J170026.88+300733.2,255.112,30.1259
525,J165950.16+295650.6,254.959,29.9474
526,J165801.68+295302.4,254.507,29.884
527,J170001.68+293734.3,255.007,29.6262
528,J165820.40+293138.2,254.585,29.5273
529,J165943.92+292352.8,254.933,29.398
